folder	size in KB	description, when missing you can find the query in git commit history
brazilelections_3	184208	
brexit	30793932	{q:'#brexit'.expand()}
brexit2	43197076	{q:'brexit,brexitdeal,brexit,theresa,borisjohnson,chlorinated,peoplesvotemarch,peoplesvote,corbyn,backstop,brexitshambles,nodeal,stopbrexit,borisjohnson,nigel_farage,meaningfulvote,farage,getbrexitdone,remainers'.toOR()}
brinkmannlab	13856	{q:'@brinkmannlab'.expand()}
btw1	173212	
btw2	42233684	{q:'afdverhindern,baerbock,baerbockverhindern,btw,btw2021,btw21,bundestagswahl,bundestagswahl2021,bundestagswahl21,cdu,cducsu,chrupalla,csu,diegrünen,fdp,gruene,grünen,laschet,laschetverhindern,lindner,linke,niewiedercdu,niewiedercsu,scholz,spd,verbotsparteicdu,wahlprogramm,weidel'.expand()}
btw3	155272	{q:'gendernneindanke,gendernjabitte,gruenermist,gruenermist2021,braunermist,blauermist,laschetkneift'.expand()}
btw4	28852	{q:'btwahl2021,btwahl,wahl2021'.expand()}
buffalo	2403292	{q:'buffalo'}
bundesregierung	3799384	{q:'SilberhornMdB,Mi_Muentefering,RitaHaglKehl,SvenjaSchulze68,LambrechtMdB,katarinabarley,StSLindner,AdlerGunther,Thomas_Bareiss,AnjaKarliczek,AnetteKramme,MiRo_SPD,JochenFlasbarth,guenterkrings,MJaegerT,W_Schmidt_,peteraltmaier,LangeMdB,jensspahn,RegSprecher,DoroBaer,fuchtel,zierke,thomasgebhart,rischwasu,AndiScheuer,NielsAnnen,KerstinGriese,OlafScholz,ChristianHirte,meister_schafft,JuliaKloeckner,HeikoMaas,SteffenBilger,petertauber,FlorianPronold,HBraun,BoehningB,wanderwitz,hubertus_heil'.toWildFromTo()}
bundesverdienstkreuz	48604	{q:'bundesverdienstkreuz'}
bunkertrump	3372704	{q:'AmericaOrTrump,bunkerboy,cowardinchief,bunkertrump,bunkerdon,voteouthate,bunkerbabytrump,bunker'.toOR()}
canceldisneyplus	34556	{q:'canceldisneyplus'.expand()}
capitol	11562224	{q:'25amendmentnow,25thamendment,25thamendmentimmediately,25thamendmentnow,26thjanwithfarmers,amendment25,arrestdonaldtrump,arrestthemallnow,arresttrump,arresttrumpnow,capitalhill,#capitol,capitolbreach,capitolbreached,capitolbuilding,capitolhill,capitollockdown,capitolpolice,capitolriots,civilwar2021,#coup,coupattempt,dcprotests,dcriots,demvoice1,domesticterrorism,domesticterrorists,donaldtrump,#impeach,impeachment,impeachtrump,impeachtrumpagainnow,impeachtrumpnow,impeachtrumptonight,inaugurationday2021,invokethe25th,january6th,lockhimup,lockhimupnow,locktrumpup,magaiscancelled,magaterrorists,magathugs,removetrumpnow,resignnowtrump,riots2021,terroristtrump,traitortrump,trumpcoupattempt,trumpisanationalsecuritythreat,trumpresignnow,trumpthugs,twentyfifthamendmentnow,uscapitol,uscoupattempt,washingtondcprotest'.expand()}
carrefour1	7044092	{q:'vidasnegrasimportam,carrefourassassino,blacklivesmatter,justicaporbeto,carrefour,carrefourracista,vidaspretasimportam,falasnegras,diadaconsciencianegra,consciencianegra,fogonosracistas,novembronegro,justiçaporbeto,memóriatemcor,boicotenacionalaocarrefour,racismo,diadaconsciêncianegra,justicaparabeto,boicotecarrefour,vidasnegras,historiasnegrasimportam'.expand()}
ccc	284808	{q:'rc3,36c3,37c3,38c3,39c3,40c3,41c3,42c3,43c3,44c3,45c3,46c3,47c3,48c3,49c3,50c3'.expand()}
cdu	732856	
cdu2	2152556	{q:'cdu,@cdu'.expand()}
chemnitz	379200	
chemnitz2	7072	
chemnitz3	87928	
chemnitz4	6768	
christchurch	3364240	{q:'christchurch,#christchurch,#eggboy,#fraseranning,#hellobrother,#neuseeland,#newzealand,#newzealandshooting,#newzealandterroristattack,حادث_نيوزيلندا_الارهابي'.toOR()}
climate	25727424	{q:'climate'}
climate_fightfor1point5	314212	{q:'fightfor1point5,facetheclimateemergency,makeparisreal,parisagreement,parisgoesbrussels,togetherforourplanet'.expand()}
climatestrike	10270844	{q:'#20eylüli̇klimgrevi,#actonclimate,#allefuersklima,#allefürsklima,#cambioclimatico,#cambioclimático,#climateactionnow,#climatechange,#climatecrisis,#climateemergency,#climatejustice,#climatejusticenow,#climatemarch,#climatemarchpakistan,#climatestrike,#climatestrikeke,#climatestrikes,#climatestrikethailand,#crisisclimatica,#extinctionrebellion,#fridayforfuture,#fridays4future,#fridaysforfurture,#fridaysforfuture,#fridaysforfutures,#globalclimatestrike,#globalclimatestrikes,#greennewdeal,#greveglobalpeloclima,#grevepourleclimat,#huelgamundialporelclima,#islamabadclimatemarch,#klimakabinett,#klimatstrejk,#marchepourleclimat,#schoolstrike4climate,#scientists4future,#scientistsforfuture,#strajkklimatyczny,#strike4climate,#viernesporelfuturo,#youthclimatestrike,#youthstrike4climate,#グローバル気候マーチ,from:gretathunberg,to:gretathunberg'.toOR()}
climatestrike2	2367832	
corbynwasright	67012	{q:'corbynwasright'}
coronar_allesoeffnen	19780	{q:'allesoeffnen,allesöffnen'.toOR()}
coronarvirus	14353080	
coronarvirus10	56744768	{q:'vaccine,vaccination'.toOR()}
coronarvirus2	3110656	
coronarvirus3	8844236	
coronarvirus4	96356364	
coronarvirus5	21728	
coronarvirus6	1285977392	{q:'coronadeutschland,#coronadeutschland,coronapanik,#coronapanik,#corona,corona,covidiot,#covidiot,#coronaoutbreak,#coronarvirus,#coronavirus,#coronavirusde,#coronavirusoutbreak,#covid,#covid19,#covid2019,#covid_19,#covidー19,#wuhan,#wuhancoronavirus,#wuhancoronovirus,#wuhanvirus,#โควิด19,coronarvirus,coronavirus,coronavirusde,coronavírus,covid,covid-19,covid19,covid2019,covid_19,covidー19,epidemic,pandemic,quarantine,quarantined,wuhan,xj621,โควิด19'.toOR(), splitTime:6}
coronarvirus7	845508	{q:'mutation'.toOR()}
coronarvirus8	286936	{q:'zerocovid'.toOR()}
coronarvirus9	9876	{q:'machtbueroszu,machtbüroszu,machtdiebueroszu,machtdiebüroszu,bueroszu,büroszu,diebueroszu,diebüroszu'.toOR()}
covidatwork	4284	{q:'covidatwork'.expand()}
crybabytrump	36768	{q:'crybabytrump'.expand()}
csu	407244	
csu2	1071980	{q:'csu,@csu'.expand()}
csuliefert	864	
cuentalo	418684	
dammbruch	16480	{q:'dammbruch'.expand()}
dankepolizei	8512	{q:'dankepolizei'.expand()}
deutsche_mep	582160	
dictaturesanitaire	120788	{q:'dictaturesanitaire'.expand()}
dieletzteinstanz	2612	{q:'dieletzteinstanz,gottschalk,janine kunze,tom buhrow,jürgen milski'.expand()}
donaldjtrump	36536	{q:'url:donaldjtrump.com'.expand()}
donalphonso	114000	{q:'@_donalphonso'.expand()}
dsgvo	7503564	{q:'#dsgvo,#dgsvo,#dataprotection,#cybersecurity,#gdpr,#datenschutz'.expand()}
dunjahayali	105084	
dunjahayali2	37476	{q:'@dunjahayali'.expand()}
efail	14932	
elysee	1365272	{q:'@elysee'.expand()}
emmanuelmacron	4794048	
emmanuelmacron2	1296952	{q:'@emmanuelmacron'.expand()}
emojitetra	29416	
emojitetra2	7760	{q:'@emojitetra'.expand()}
epstein	9693860	{q:'clintonbodycount,clintoncrimefamily,clintonsbodycount,epstein,epsteinblackbook,epsteincoverup,epsteingate,epsteinmurder,epsteinsuicide,epsteinsuicidecoverup,epsteinsuicided,epsteinunsealed,epstien,jefferyepstein,jeffreyepstein,trumpbodycount'.toOR()}
esc2018	1483684	
eurovision	4146432	{q:'eurovision,eurovision2021,eurovisiesongfestival,esf21,esc21,dddesc'.expand()}
euwahl1	116764168	{q:'#election,#ep,#euro,ek2019,elections2019,ep2019,eu2019,euelections,euelections2019,europa,europaparlament,europawahl,europawahl19,europawahl2019,europe,european,europeanparliament,europeennes2019,européennes,européennes2019,euw19,euwahl,futureofeurope,ps2019'.toOR()}
fakenewssource1	3888	
fakenewssource2	4324	{q:'url:berliner-express.com OR url:truth24.net'}
